Unnamed: 0,Title,id,rating,genres,Release year,Overview
6107,Agent Cody Banks,10923,PG,Action;Adventure;Comedy;Family,2003,"Recruited by the U.S. government to be a special agent, nerdy teenager Cody Banks must get closer to cute classmate Natalie in order to learn about an evil plan hatched by her father. But despite the agent persona, Cody struggles with teen angst."
6109,Fair Game,38363,PG-13,Drama;Thriller,2010,"A devoted wife and mother leads a secret life as a CIA agent until her husband’s article exposes a scandal, putting her identity and loved ones at risk. As her world crumbles, she must navigate the fallout of her double life."
6110,The Hills Run Red,24001,R,Horror;Thriller,2009,"A group of young horror fans go searching for a film that mysteriously vanished years ago but instead find that the demented killer from the movie is real, and he's thrilled to meet fans who will die gruesomely for his art."
6111,Teen Beach Movie,177888,PG,Family;Music;TV Movie;Comedy,2013,"Life's a beach for surfers Brady and McKenzie – until a rogue wave magically transports them inside the classic '60s beach party flick, ""Wet Side Story,"" where a full-blown rivalry between bikers and surfers threatens to erupt. There, amidst a sea of surfing, singing and dancing, Brady and Mack accidentally change the storyline, and the film’s dreamy hero and heroine fall for them instead of for each other!"
6112,The Boss,323676,R,Comedy,2016,"A titan of industry is sent to prison after she's caught for insider trading. When she emerges ready to rebrand herself as America's latest sweetheart, not everyone she screwed over is so quick to forgive and forget."
6113,Stuck on You,1792,PG-13,Comedy,2003,"In Martha's Vineyard, Mass., conjoined twins Walt and Bob Tenor make the best of their handicap by being the fastest grill cooks in town. While outgoing Walt hopes to one day become a famous actor, shy Bob prefers to stay out of the spotlight. When a fading Hollywood actress, Cher, decides to get her show ""Honey and the Beaze"" cancelled, she hires Walt -- and his brotherly appendage -- as her costars. But their addition surprisingly achieves the opposite."
6115,The Good Liar,511322,R,Crime,2019,"Career con man Roy sets his sights on his latest mark: recently widowed Betty, worth millions. And he means to take it all. But as the two draw closer, what should have been another simple swindle takes on the ultimate stakes."
6116,Red Scorpion,12663,R,Adventure;Action;War,1988,"A Russian KGB agent is sent to Africa to kill an anti-Communist black revolutionary. However, he has a change of heart when he sees how the Russians and their Cuban allies are killing and repressing the locals, so he switches sides and helps the rebels."
6117,Midnight Run,9013,R,Action;Comedy;Crime,1988,"A bounty hunter pursues a former Mafia accountant who embezzled $15 million of mob money. He is also being chased by a rival bounty hunter, the F.B.I., and his old mob boss after jumping bail."
6118,My Little Pony: Equestria Girls - Rainbow Rocks,292177,G,Family;Animation;Music,2014,"Music rules and rainbows rock as Twilight Sparkle and pals compete for the top spot in the Canterlot High ""Mane Event"" talent show. The girls must rock their way to the top, and outshine rival Adagio Dazzle and her band The Dazzlings, to restore harmony back to Canterlot High."
6119,Jackass Presents: Bad Grandpa .5,273641,PG-13,Comedy,2014,"Bad Grandpa .5 gives you a whole new perspective on the world of Irving Zisman with bonus scenes and pranks also featuring Spike Jonze as ""Gloria"" and Catherine Keener as Irving's wife ""Ellie"", plus a look at the evolution of Johnny Knoxville's naughty alter-ego, the makeup effects, and a behind-the-scenes peek at the idiocy it takes to make a hidden camera movie in public."
6121,Father Figures,354861,R,Comedy,2017,"Upon learning that their mother has been lying to them for years about their allegedly deceased father, two fraternal twin brothers hit the road in order to find him."
6122,The Pact,111440,R,Horror;Mystery;Thriller,2012,"After their mother passes away, sisters Nicole and Annie reluctantly return to their childhood home to pay their last respects. While staying overnight in the house, the sisters sense a mysterious presence in their midst: noises startling them in the night, objects moving about, a fallen picture of an unknown woman posed next to their mother. Annie begins experiencing a series of intense and disturbing dreams - visions that lead her to uncover something terrible about her mother's past that is finally revealing itself."
6125,Debt Collectors,647785,R,Action;Comedy;Crime,2020,"A pair of debt collectors are thrust into an explosively dangerous situation, chasing down various lowlifes while also evading a vengeful kingpin."
6126,Pawn Sacrifice,245698,PG-13,Thriller;Drama,2015,American chess champion Bobby Fischer prepares for a legendary match-up against Russian Boris Spassky.
6127,View from the Top,11523,PG-13,Comedy;Romance;Drama,2003,"No one thought Donna would go very far. But when she sets her sights on becoming a first-class international flight attendant, Donna throws caution to the wind and takes off in pursuit of her dream. The ride is anything but smooth, however, and Donna's laugh-packed journey of a lifetime is rocked by more turbulence than she bargained for."
6128,The Accused,10868,R,Crime;Drama,1988,"After a young woman suffers a brutal rape in a bar one night, a prosecutor assists in bringing the perpetrators to justice, including the ones who encouraged and cheered on the attack."
6129,Captivity,14125,R,Crime;Horror;Thriller,2007,"The sought-after images of top model Jennifer adorn magazine covers and billboards worldwide. When alone at a club, she is abducted and incarcerated in a cell with another prisoner. When their captor subjects the two to torture, they commit to escaping the chamber of horrors before they're killed."
6130,Big Ass Spider!,166822,PG-13,Science Fiction,2013,"When a giant alien spider escapes from a military lab and rampages across the city of Los Angeles, it is up to one clever exterminator and his security guard sidekick to kill the creature before the entire city is destroyed."
6131,Psycho,11252,R,Horror;Mystery;Thriller,1998,"A young female embezzler arrives at the Bates Motel, which has terrible secrets of its own."
6132,Needful Things,10657,R,Drama;Horror,1993,"A mysterious new shop opens in a small town which always seems to stock the deepest desires of each shopper, with a price far heavier than expected."
6133,Killing Them Softly,64689,R,Crime;Thriller,2012,"Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse."
6134,StarDog and TurboCat,515789,PG,Animation;Comedy;Family,2019,"When vigilante cat, Felix, and loyal canine, Buddy, set out to find Buddy’s lost owner, they discover not only the power of friendship, but their inner superpowers along the way."
6135,We Own the Night,2001,R,Drama;Crime;Thriller,2007,A New York nightclub manager tries to save his brother and father from Russian mafia hitmen.
6136,Superman: Unbound,166076,PG-13,Animation;Action;Adventure,2013,"Superman and Supergirl take on the cybernetic being known as Brainiac, who boasts that he possesses ""the knowledge and strength of 10,000 worlds."""
6137,Fletch,9749,PG,Comedy;Crime;Mystery,1985,"When investigative reporter Irwin ""Fletch"" Fletcher goes undercover to write a piece on the drug trade at a local beach, he's approached by wealthy businessman Alan Stanwyk, who offers him $50,000 to murder him. With sarcastic wit and a knack for disguises, Fletch sets out to uncover Stanwyk's story."
6138,Armed and Dangerous,2620,PG-13,Action;Comedy;Crime,1986,"After policeman Frank Dooley is framed for theft and loses his job on the force, he joins a security guard agency and teams up with inept former defense lawyer Norman Kane. When the two botch a job guarding a local warehouse, they begin to uncover corruption within the company and their union."
6139,The Warrior's Way,46528,R,Adventure;Fantasy;Action;Western;Thriller,2010,A warrior-assassin is forced to hide in a small town in the American Badlands after refusing a mission.
